ALG	Fn	C
fc2	GO.0061025	68
fc2	GO.0055074	69
fc2	GO.0016458	71
fc2	GO.0006979	72
fc2	GO.0061025	75
fc2	GO.0010611	76
fc2	GO.0030203	79
fc2	GO.0007411	80
fc2	GO.0030203	80
fc2	GO.0032288	80
fc2	GO.0042552	80
fc2	GO.0000165	84
fc2	GO.0002218	84
fc2	GO.0002757	84
fc2	GO.0002758	84
fc2	GO.0019933	84
fc2	GO.0031929	84
fc2	GO.0043406	84
fc2	GO.0046058	84
fc2	GO.0000165	85
fc2	GO.0006364	85
fc2	GO.0006614	85
fc2	GO.0007268	85
fc2	GO.0007269	85
fc2	GO.0007416	85
fc2	GO.0010721	85
fc2	GO.0019083	85
fc2	GO.0019722	85
fc2	GO.0031345	85
fc2	GO.0034329	85
fc2	GO.0034330	85
fc2	GO.0035235	85
fc2	GO.0042552	85
fc2	GO.0043297	85
fc2	GO.0045216	85
fc2	GO.0048168	85
fc2	GO.0048488	85
fc2	GO.0050768	85
fc2	GO.0050770	85
fc2	GO.0050771	85
fc2	GO.0050804	85
fc2	GO.0050807	85
fc2	GO.0050808	85
fc2	GO.0051963	85
fc2	GO.0055074	85
fc2	GO.0060078	85
fc2	GO.0099531	85
fc2	GO.0099536	85
fc2	GO.0099537	85
fc2	GO.0099565	85
fc2	GO.0099643	85
fc2	GO.0000165	86
fc2	GO.0002218	86
fc2	GO.0002224	86
fc2	GO.0002756	86
fc2	GO.0002757	86
fc2	GO.0002758	86
fc2	GO.0009755	86
fc2	GO.0031098	86
fc2	GO.0032479	86
fc2	GO.0032606	86
fc2	GO.0034341	86
fc2	GO.0050852	86
fc2	GO.0051403	86
fc2	GO.0099504	86
fc2	GO.0000165	87
fc2	GO.0002218	87
fc2	GO.0002757	87
fc2	GO.0002758	87
fc2	GO.0006979	87
fc2	GO.0007268	87
fc2	GO.0007411	87
fc2	GO.0031098	87
fc2	GO.0031346	87
fc2	GO.0032535	87
fc2	GO.0043406	87
fc2	GO.0050804	87
fc2	GO.0051403	87
fc2	GO.0055074	87
fc2	GO.0099536	87
