ENTREZ.ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
273	0	0	0	0	0	0.0349574200254622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140654577704877	0	0	0	0	0.0996141338813578	0.724773868388303	0	0	0	0	0	0	0	0	0
6455	0	0	0	0	0	0	0	0.0205981395996437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157209861754946	0.0283256218989509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117233178648739	0.0461500249540549	0	0	0	0	0	0	0	0	0.650975177656595	0	0	0	0	0.0826853872911713	0.0383114837753509	0	0	0
1759	0	0.0474985073953085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878856990520797	0	0	0.0644138365503204	0	0	0	0.054062990700466	0	0	0.061998296245972	0	0.215687203991677	0.468453466064176	0	0	0	0	0	0	0	0	0
1785	0	0.0145710169679965	0	0	0	0	0	0.0643486643859897	0	0	0.023484336842761	0	0.0497215705230297	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026339300467748	0.0425150911387171	0	0	0	0	0	0	0	0	0	0.00706471425838657	0	0	0	0	0	0.0231661688503004	0.0256915952343051	0	0	0	0	0	0	0	0	0	0.0213115281290681	0	0	0	0.0189436470460051	0	0	0	0	0	0.0142472070928108	0	0	0.0351300376178514	0.0880212349523935	0	0.19396656035593	0.351477326136707	0	0	0	0	0	0	0	0	0
26052	0	0	0	0	0	0.375229457885024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0883199328196818	0	0	0.237366790663818	0.299083818631476	0	0	0	0	0	0	0	0	0
2060	0	0.0358918171778958	0	0.0356907830213857	0	0	0	0	0	0	0.119526415059961	0.198451009172353	0.0697608343359204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051409247313536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0406819514634742	0	0	0	0	0	0	0	0	0.135622030755593	0	0.150339189217638	0.0291474043736793	0	0.0484010967800656	0	0	0.0275280884003249	0.0575501329281731	0	0	0
1837	0.283588970343865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131571698842747	0	0	0.18961343442429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135106563196288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260119333192809	0	0	0	0	0	0	0	0	0	0	0	0
1821	0.46450942607911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53549057392089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1756	0.149013428510597	0	0	0	0	0	0	0.147714124707758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376919547332108	0	0	0	0	0	0	0	0	0	0.0886285764518589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237724322997677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2923	0	0	0	0	0	0	0	0.214555016113277	0.145614564753327	0.0914444285797479	0	0	0.0499288371358246	0	0.0672045507431003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107684038486182	0	0	0	0	0	0	0	0	0	0	0	0.0288815736257973	0	0.0384027497836746	0	0	0.0970766088385117	0	0	0	0	0	0.159207631940557	0	0	0
