ENTREZ.ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
273	0	0	0	0	0	0.853565469804984	0.0425656556484681	0.0162980701958865	0	0	0.0690480418332958	0	0	0	0	0	0.0185227625173653	0	0	0	0	0	0	0	0	0	0	0
6455	0.0332108256705211	0	0	0	0.0218907039617993	0.795550053373414	0	0	0	0	0.0696283145087935	0	0	0.0496309637889634	0	0	0.00806498218883771	0.0220241565076708	0	0	0	0	0	0	0	0	0	0
1759	0.0131432771775843	0	0.0388530827057032	0	0	0.790065482560626	0.0908475079003314	0.0142676033542423	0	0	0.0132254107570745	0	0	0	0	0.0395976355444386	0	0	0	0	0	0	0	0	0	0	0	0
1785	0	0.0346990804903402	0.0188339707943258	0	0.0240422280127632	0.650220493331373	0.0968078936593792	0	0	0	0.0303872868550782	0	0.0274477615310518	0	0	0.0385122736169737	0	0	0	0	0.00503057393235477	0	0.0153304988516121	0	0.0291572028516849	0.0252314572405926	0	0.00429927883247063
26052	0	0	0	0	0	0.380865983093871	0.274368609157271	0	0	0	0.344765407748858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2060	0	0	0.0759605014556826	0.357977610862517	0.0524518792715196	0.165174963428218	0.204228181202359	0	0	0	0	0	0	0.0855352540286005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586716097511022
1837	0	0	0.811580477359232	0	0	0	0.0571144974954358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131305025145333
1821	0	0	0.906805953222734	0	0.0931940467772662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1756	0.126213997324727	0	0.24245401106925	0	0.135068170383006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068394345110263	0.130552112606919	0	0	0	0	0	0	0.297317363505835
2923	0.0678660610864351	0	0	0.190354388455921	0.168602631300696	0.0806869143312793	0	0.288226563114885	0	0	0	0.0941124468043665	0.110150994906416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26986	0	0.102775416055263	0	0.10875431265121	0.630487995701847	0	0	0	0	0	0	0.15798227559168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22808	0.368937801082988	0	0	0	0	0	0	0	0	0	0	0	0	0.225865989374185	0	0.405196209542828	0	0	0	0	0	0	0	0	0	0	0	0
1487	0	0	0	0.061174037905813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214164536320035	0.216919396378638	0	0.0561137133282495	0	0	0.644376398755296	0	0	0
3709	0	0	0	0	0.611076662969153	0	0	0	0	0	0	0	0	0	0.388923337030847	0	0	0	0	0	0	0	0	0	0	0	0	0
1793	0.189902635167481	0	0	0	0	0	0.607598625611965	0	0	0	0	0	0	0	0	0	0	0	0.202498739220554	0	0	0	0	0	0	0	0	0
2274	0.0626356998684764	0	0.0323430099975732	0.0448394396548418	0	0	0.206368877840129	0	0	0	0.0734835592428388	0.0396317247079375	0	0.102981723219975	0.0231719461719637	0	0	0.0489568770093245	0.0592452932068228	0	0	0.0415180621759655	0.231183871960377	0	0	0	0	0.033639914943775
8470	0.208852931537656	0	0	0	0	0.133922309139442	0.345305793808201	0.0694722882668986	0	0	0	0.0669635652580702	0	0	0	0	0	0	0.119007782103773	0	0	0	0.0564753298859597	0	0	0	0	0
6456	0	0	0	0.0850879510729867	0	0.647092452231878	0.098039111277263	0.0936472038152435	0	0	0.0214129129313848	0.0243021082955253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304182603757184
