ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
29763	PACSIN3	10	0.667537763301354	0.668008643008005
4783	NFIL3	3	0.667736664878212	0.668028630003238
3276	PRMT1	45	0.667288549034652	0.667829475714636
405	ARNT	16	0.667310695548802	0.668001995956807
40	ASIC2	1	0.667934848955695	0.668015676982135
41	ASIC1	2	0.667872694858613	0.668016818377244
3028	HSD17B10	30	0.666953943340077	0.667981724638589
1859	DYRK1A	19	0.667385795262926	0.66797171471556
1742	DLG4	158	0.667875039195688	0.66720095534712
2066	ERBB4	40	0.667166260394085	0.66787854990921
1740	DLG2	20	0.666965258881027	0.668030340800062
1741	DLG3	33	0.666978443091196	0.667950074037171
9228	DLGAP2	22	0.667546232412206	0.667929072214803
215	ABCD1	5	0.667500284422914	0.66805610161293
225	ABCD2	2	0.667768282739136	0.668032429098068
5825	ABCD3	12	0.66769522272262	0.667977320226258
10484	SEC23A	17	0.667151939089816	0.668020771994241
10015	PDCD6IP	22	0.667431480982583	0.667947493615779
55824	PAG1	7	0.667692555828324	0.668008226829322
2512	FTL	16	0.667466842471035	0.667981314804045
2495	FTH1	18	0.667537428821945	0.667955227069194
3251	HPRT1	3	0.667825969480814	0.668016705904767
10342	TFG	23	0.667270800208603	0.66796601450272
210	ALAD	1	0.667900928879651	0.668020216537102
3855	KRT7	6	0.667627804828165	0.668022742225869
10935	PRDX3	9	0.667706338306284	0.667993794404947
2783	GNB2	30	0.667195451053096	0.667929842726517
65263	PYCR3	3	0.667842148774281	0.668013952199754
9531	BAG3	31	0.667479021146016	0.66788339898474
10574	CCT7	22	0.667270916201891	0.667971698079662
10534	ZNRD2	9	0.667474276713258	0.66802410584076
3936	LCP1	8	0.66782131694163	0.667984739890827
2197	FAU	5	0.667557593709821	0.668042060450314
10550	ARL6IP5	9	0.667546554085294	0.66801805571496
6342	SCP2	6	0.667560191926499	0.668033923360631
5093	PCBP1	31	0.667099598111719	0.667949319991206
5295	PIK3R1	87	0.668071496180416	0.667475191174383
7905	REEP5	9	0.667430978313008	0.668032251911407
954	ENTPD2	1	0.667893672718829	0.668021260745307
5584	PRKCI	27	0.667515023773645	0.667906402384897
55746	NUP133	14	0.667457353680914	0.667994352095933
10675	CSPG5	2	0.667812334398008	0.668025157507713
2547	XRCC6	165	0.668708557300651	0.66697713334863
2280	FKBP1A	10	0.667377926808517	0.668032164489683
6640	SNTA1	9	0.667461521122538	0.668027717341879
3842	TNPO1	5	0.667699442908329	0.668019535543875
387	RHOA	35	0.666842223215092	0.667958406155904
824	CAPN2	9	0.667478809355874	0.668025403660882
6804	STX1A	43	0.666917955956287	0.667895417346329
1495	CTNNA1	19	0.667493330435601	0.667958522278656
3736	KCNA1	6	0.667549655024543	0.668039407588632
5058	PAK1	44	0.667351661656566	0.667827668110658
3503	IGHG4	1	0.667856175936749	0.66802832443477
2934	GSN	7	0.667577911276182	0.668023430894846
7332	UBE2L3	28	0.667316286790291	0.66792663376809
3500	IGHG1	3	0.667748071408175	0.668028766090285
3612	IMPA1	2	0.667832880666325	0.668022589505621
2108	ETFA	13	0.667825295462175	0.667949419444301
259217	HSPA12A	5	0.667512621940093	0.668049703573962
23499	MACF1	28	0.667230032143649	0.667941229084366
260425	MAGI3	10	0.667294489554784	0.668045878858512
50618	ITSN2	55	0.667432233188547	0.667754169925169
55187	VPS13D	6	0.667733586169728	0.668008579130864
25831	HECTD1	7	0.667714455530425	0.668005807663125
3547	IGSF1	3	0.667685109655421	0.66803686492157
5799	PTPRN2	15	0.667333212242434	0.668005099219638
5362	PLXNA2	5	0.667626025237689	0.668031974708908
23037	PDZD2	4	0.667659171759713	0.668032626185953
26037	SIPA1L1	15	0.667625031396233	0.667963929229303
23026	MYO16	4	0.667698583899846	0.668028690577541
23129	PLXND1	4	0.667676816207999	0.668030721902325
1951	CELSR3	14	0.66719467025815	0.668040057771956
1173	AP2M1	30	0.667263450113699	0.667931711171288
22883	CLSTN1	8	0.667372030021484	0.668048711632556
221981	THSD7A	6	0.667538276278733	0.668035801273486
23025	UNC13A	5	0.667666430086919	0.668025096323081
20	ABCA2	2	0.667820943210868	0.668023974071816
22995	CEP152	64	0.667329952246195	0.667714088730808
57453	DSCAML1	3	0.667698209351049	0.668035298238635
23228	PLCL2	4	0.667732879383636	0.668023663992672
5365	PLXNB3	8	0.667305258813395	0.668062735138787
23113	CUL9	5	0.667676887398126	0.668023666722871
9439	MED23	19	0.666913779954353	0.668053901913879
27148	STK36	2	0.667781398507589	0.668029990153664
57556	SEMA6A	6	0.667634795799924	0.668023032979549
10580	SORBS1	23	0.667492780697045	0.667932370294192
57571	CARNS1	1	0.66787855549285	0.668023622791323
57670	KIAA1549	7	0.667582883656511	0.668023576730328
4645	MYO5B	8	0.667454237347579	0.668034275859258
57610	RANBP10	7	0.667490693710631	0.668038260231823
23031	MAST3	2	0.667788992294255	0.668029627040925
815	CAMK2A	47	0.667185466684633	0.667831327606007
4035	LRP1	20	0.667285112521209	0.66798086471544
1600	DAB1	15	0.667204795019462	0.668029317792768
10006	ABI1	69	0.667943470735059	0.667589994185206
6457	SH3GL3	29	0.667091314846066	0.66795872734669
57787	MARK4	14	0.667554835034045	0.667979695849333
3178	HNRNPA1	30	0.667071282391616	0.667959147702679
6294	SAFB	18	0.667508056713354	0.667962671522833
1459	CSNK2A2	21	0.667351575564275	0.667965154357553
1460	CSNK2B	88	0.667230317889279	0.667612416637066
1457	CSNK2A1	164	0.669136693221082	0.666918267429309
6449	SGTA	40	0.666761132583349	0.667948629158145
3646	EIF3E	13	0.667308399163141	0.668023922940224
2243	FGA	11	0.667246760254378	0.668047218465417
10989	IMMT	47	0.667490344177439	0.667795134394921
23193	GANAB	9	0.667653289608332	0.667998925140852
6747	SSR3	7	0.667451301482677	0.668051486994667
4670	HNRNPM	24	0.667165348356565	0.667972638957207
7916	PRRC2A	18	0.667492684225506	0.66796410667412
5859	QARS1	27	0.667378978703039	0.667921596983475
5684	PSMA3	39	0.667113465599154	0.667900809322581
708	C1QBP	18	0.667209580407794	0.668006890269598
529	ATP6V1E1	6	0.667509678689947	0.668043920465735
10212	DDX39A	2	0.667806184404546	0.668026080237991
7919	DDX39B	13	0.667417896262581	0.668011019775346
6210	RPS15A	4	0.667812050229943	0.668011460618145
10189	ALYREF	5	0.667814751572152	0.668004302714218
1838	DTNB	34	0.667629485678133	0.667841864598459
1642	DDB1	13	0.667324261171349	0.668022171440578
11117	EMILIN1	9	0.667447080118921	0.668030185854453
1994	ELAVL1	11	0.667462063223298	0.66801244315298
23517	MTREX	7	0.667524529453159	0.668030565219862
26019	UPF2	35	0.666816009091011	0.667959750993108
6499	SKIV2L	5	0.66754087150797	0.668044947396763
3184	HNRNPD	67	0.667149001542834	0.667746648530785
5976	UPF1	20	0.667474539411806	0.667956444637146
23248	RPRD2	7	0.667793756859788	0.667993225955079
11331	PHB2	14	0.667397204585535	0.668007086937001
5493	PPL	18	0.667373361891849	0.667980527227987
142	PARP1	34	0.667428543678361	0.667878544014573
4998	ORC1	8	0.667620098255321	0.668011042528053
4172	MCM3	10	0.667551803706071	0.668006748024314
4999	ORC2	9	0.667667095971998	0.667998287948246
4175	MCM6	8	0.667528794172016	0.668023808682527
348	APOE	34	0.666855094242961	0.667966575509525
4684	NCAM1	7	0.667743605655626	0.668001072907884
1804	DPP6	1	0.667913346604434	0.668018506698957
4685	NCAM2	3	0.667776568488474	0.668022712077785
1272	CNTN1	6	0.667636317116416	0.668023643726865
4099	MAG	2	0.667903178610589	0.668012934675422
4340	MOG	1	0.667913346604434	0.668018506698957
5621	PRNP	50	0.666568757928251	0.66793528684095
1191	CLU	50	0.666985486427662	0.667855624926043
5034	P4HB	23	0.667120918387627	0.668004799945729
3897	L1CAM	8	0.667421671835002	0.668040011063142
8404	SPARCL1	3	0.66783554709486	0.668014804234366
334	APLP2	8	0.667659575452612	0.668006931664308
3309	HSPA5	47	0.667034948561551	0.667876722905261
10539	GLRX3	15	0.667201339549836	0.668033933174017
58512	DLGAP3	17	0.66763325858933	0.667949193127675
22839	DLGAP4	30	0.66765906219857	0.667870780362728
1739	DLG1	64	0.666803939325193	0.667829983039379
4750	NEK1	14	0.667400812749963	0.668000639811452
11127	KIF3A	14	0.667528158423375	0.667983391388733
10617	STAMBP	16	0.667278127628167	0.66801141369661
26994	RNF11	30	0.667293076416197	0.667920586092738
10228	STX6	19	0.667384818075774	0.667974185710259
10482	NXF1	28	0.667398867055174	0.667912231144393
5869	RAB5B	12	0.667394561334325	0.668016803327022
5868	RAB5A	33	0.666797547147851	0.667986555708771
7334	UBE2N	18	0.667348078162688	0.667983440409767
7316	UBC	154	0.669059519246771	0.666973799248917
7431	VIM	91	0.667821878230744	0.667507559799803
7251	TSG101	67	0.66729089684179	0.667708823996121
9146	HGS	90	0.668441742474909	0.667407016965365
55666	NPLOC4	9	0.667751131096027	0.667988480754047
667	DST	37	0.667549812084685	0.667838789337348
9135	RABEP1	25	0.667263378813127	0.667953365566881
164	AP1G1	8	0.667428939447384	0.668040995630511
4214	MAP3K1	51	0.66714724690473	0.667821571395696
