C	Cn	photoreceptor_inner_segment	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	nucleolus	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autophagosome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_vesicle	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	cytosolic_large_ribosomal_subunit	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	cytosolic_small_ribosomal_subunit	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	growth_cone	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	site_of_polarized_growth	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_vesicle_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	axon_part	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ion_channel_complex	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	chloride_channel_complex	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_cleft	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	dendritic_spine	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	blood_microparticle	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_synaptic_vesicle_...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_endosome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_postsynaptic_memb...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GABA-ergic_synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	anchored_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_postsynaptic_membr...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)
Spectral																																																																																																																																																																																																																																																																																																																																																																																																																									
1	1	15	0	0.00311397	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	276	0	0.0572971	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.00996471	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	130	0	0.0269878	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.0521071	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	49	0	0.0101723	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.00788873	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	27	0	0.00560515	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	0	0.0240814	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	119	0	0.0247042	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	71	0	0.0147395	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.0521071	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	143	0	0.0296865	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	16	0	0.00332157	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	0	0.0220054	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	10	0	0.00207598	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	127	0	0.026365	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	779	0	0.161719	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	200	0	0.0415196	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	51	0	0.0105875	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	20	0	0.00415196	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	0	0.0124559	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	275	0	0.0570895	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.00788873	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	0	0.0658086	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	431	0	0.0894748	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	52	0	0.0107951	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00228358	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	0	0.0134939	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.00996471	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00228358	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0130787	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	261	0	0.0541831	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0130787	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA
2	157	15	2	0.488894	4.61241	[1.03,20.62]	0.144814	1	0.1	NA	1	1	NA	276	2	8.99564	0.206546	[0.05,0.84]	0.00958592	1	0.1	NA	0.00782417	1	NA	48	1	1.56446	0.62916	[0.09,4.59]	1	1	0.1	NA	0.660668	1	NA	130	11	4.23708	2.87504	[1.52,5.45]	0.00440007	1	0.1	NA	1	1	NA	251	15	8.18082	1.98019	[1.14,3.43]	0.0368298	1	0.1	NA	1	1	NA	49	2	1.59705	1.26644	[0.30,5.26]	0.920576	1	0.1	NA	1	1	NA	38	0	1.23853	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	27	0	0.880008	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	11	3.78078	3.26843	[1.72,6.21]	0.0018522	0.616713	0.1	NA	1	1	NA	119	12	3.87856	3.5215	[1.90,6.54]	0.000652187	0.277289	0.1	NA	1	1	NA	71	5	2.3141	2.28967	[0.91,5.76]	0.106618	1	0.1	NA	1	1	NA	251	18	8.18082	2.46043	[1.48,4.09]	0.00189646	0.623934	0.1	NA	1	1	NA	143	7	4.66078	1.55235	[0.71,3.38]	0.278147	1	0.1	NA	1	1	NA	16	0	0.521486	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	10	3.45485	3.23413	[1.65,6.33]	0.00319424	0.980841	0.1	NA	1	1	NA	10	1	0.325929	3.31268	[0.42,26.31]	0.484551	1	0.1	NA	1	1	NA	127	13	4.1393	3.60002	[1.98,6.54]	0.000324438	0.169173	0.1	NA	1	1	NA	779	48	25.3899	2.3669	[1.67,3.35]	5.87984e-06	0.00492408	0.1	*	1	1	NA	200	9	6.51858	1.42285	[0.71,2.83]	0.37886	1	0.1	NA	1	1	NA	51	8	1.66224	5.76494	[2.66,12.48]	0.000349475	0.175601	0.1	NA	1	1	NA	20	2	0.651858	3.3276	[0.77,14.47]	0.222381	1	0.1	NA	1	1	NA	60	8	1.95557	4.75787	[2.22,10.19]	0.00105485	0.399339	0.1	NA	1	1	NA	275	18	8.96305	2.21857	[1.34,3.68]	0.00573749	1	0.1	NA	1	1	NA	38	2	1.23853	1.65735	[0.40,6.95]	0.455065	1	0.1	NA	1	1	NA	317	22	10.3319	2.4113	[1.51,3.84]	0.00112118	0.416294	0.1	NA	1	1	NA	431	27	14.0475	2.18797	[1.43,3.35]	0.00120511	0.435294	0.1	NA	1	1	NA	52	1	1.69483	0.579311	[0.08,4.22]	0.980259	1	0.1	NA	0.626543	1	NA	11	0	0.358522	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	2	2.11854	0.941526	[0.23,3.88]	1	1	0.1	NA	0.551429	1	NA	48	0	1.56446	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	2	0.358522	6.6681	[1.43,31.12]	0.0864873	1	0.1	NA	1	1	NA	63	1	2.05335	0.475393	[0.07,3.45]	0.770723	1	0.1	NA	0.526139	1	NA	261	15	8.50675	1.8954	[1.10,3.28]	0.0380165	1	0.1	NA	1	1	NA	63	1	2.05335	0.475393	[0.07,3.45]	0.770723	1	0.1	NA	0.526139	1	NA
3	2	15	0	0.00622794	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	276	0	0.114594	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.0199294	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	130	0	0.0539755	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.104214	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	49	0	0.0203446	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.0157775	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	27	0	0.0112103	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	0	0.0481628	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	119	0	0.0494083	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	71	0	0.0294789	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.104214	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	143	0	0.0593731	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	16	0	0.00664314	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	0	0.0440108	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	10	0	0.00415196	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	127	0	0.0527299	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	779	0	0.323438	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	200	0	0.0830392	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	51	0	0.021175	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	20	0	0.00830392	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	0	0.0249118	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	275	0	0.114179	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.0157775	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	0	0.131617	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	431	0	0.17895	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	52	0	0.0215902	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00456716	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	0	0.0269878	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.0199294	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00456716	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0261574	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	261	0	0.108366	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0261574	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA
4	64	15	0	0.199294	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	276	4	3.66701	1.09828	[0.40,3.04]	0.961551	1	0.1	NA	0.830682	1	NA	48	1	0.637741	1.58933	[0.22,11.70]	0.684852	1	0.1	NA	1	1	NA	130	0	1.72722	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	4	3.33486	1.21619	[0.44,3.37]	0.67095	1	0.1	NA	1	1	NA	49	3	0.651028	5.03243	[1.52,16.62]	0.0457404	1	0.1	NA	1	1	NA	38	1	0.504879	2.02317	[0.27,14.98]	0.619193	1	0.1	NA	1	1	NA	27	0	0.358729	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	3	1.54121	2.01944	[0.62,6.53]	0.263951	1	0.1	NA	1	1	NA	119	3	1.58107	1.96594	[0.61,6.36]	0.274194	1	0.1	NA	1	1	NA	71	0	0.943326	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	3	3.33486	0.893377	[0.28,2.87]	1	1	0.1	NA	0.45323	1	NA	143	0	1.89994	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	16	0	0.21258	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	0	1.40835	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	10	0	0.132863	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	127	1	1.68736	0.582892	[0.08,4.24]	0.985829	1	0.1	NA	0.62821	1	NA	779	7	10.35	0.633283	[0.29,1.39]	0.330221	1	0.1	NA	0.153877	1	NA	200	1	2.65726	0.363245	[0.05,2.63]	0.495928	1	0.1	NA	0.365787	1	NA	51	0	0.6776	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	20	0	0.265726	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	0	0.797177	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	275	1	3.65373	0.259472	[0.04,1.88]	0.223272	1	0.1	NA	0.177978	1	NA	38	0	0.504879	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	1	4.21175	0.222875	[0.03,1.61]	0.138692	1	0.1	NA	0.113803	1	NA	431	6	5.72639	1.05347	[0.45,2.46]	0.957035	1	0.1	NA	0.685875	1	NA	52	0	0.690886	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.146149	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	0	0.863608	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.637741	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.146149	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.837035	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	261	4	3.46772	1.16628	[0.42,3.23]	1	1	0.1	NA	0.835559	1	NA	63	0	0.837035	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA
5	132	15	1	0.411044	2.54689	[0.33,19.51]	0.558486	1	0.1	NA	1	1	NA	276	18	7.56321	2.7093	[1.62,4.52]	0.000605893	0.265784	0.1	NA	1	1	NA	48	0	1.31534	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	130	1	3.56238	0.269602	[0.04,1.94]	0.244802	1	0.1	NA	0.193443	1	NA	251	5	6.87814	0.710422	[0.29,1.75]	0.612931	1	0.1	NA	0.266382	1	NA	49	3	1.34274	2.3453	[0.72,7.64]	0.211309	1	0.1	NA	1	1	NA	38	0	1.04131	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	27	0	0.73988	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	0	3.17874	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	119	0	3.26095	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	71	0	1.94561	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	3	6.87814	0.416073	[0.13,1.32]	0.159544	1	0.1	NA	0.103767	1	NA	143	5	3.91862	1.29722	[0.52,3.22]	0.798349	1	0.1	NA	1	1	NA	16	0	0.438447	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	0	2.90471	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	10	0	0.274029	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	127	3	3.48017	0.855401	[0.27,2.72]	1	1	0.1	NA	0.442231	1	NA	779	20	21.3469	0.923678	[0.57,1.50]	0.858659	1	0.1	NA	0.18533	1	NA	200	1	5.48059	0.172082	[0.02,1.24]	0.0471531	1	0.1	NA	0.0403044	1	NA	51	1	1.39755	0.707634	[0.10,5.16]	1	1	0.1	NA	0.698945	1	NA	20	0	0.548059	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	4	1.64418	2.58315	[0.92,7.23]	0.115229	1	0.1	NA	1	1	NA	275	1	7.53581	0.12289	[0.02,0.88]	0.00705031	1	0.1	NA	0.00628641	1	NA	38	0	1.04131	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	7	8.68673	0.790323	[0.37,1.71]	0.703438	1	0.1	NA	0.25563	1	NA	431	9	11.8107	0.739163	[0.37,1.47]	0.487409	1	0.1	NA	0.183577	1	NA	52	0	1.42495	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.301432	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	0	1.78119	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	1	1.31534	0.753289	[0.10,5.50]	1	1	0.1	NA	0.715173	1	NA	11	0	0.301432	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	1.72639	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	261	5	7.15217	0.681133	[0.28,1.68]	0.541495	1	0.1	NA	0.244556	1	NA	63	0	1.72639	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA
6	1	15	0	0.00311397	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	276	0	0.0572971	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.00996471	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	130	0	0.0269878	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.0521071	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	49	0	0.0101723	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.00788873	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	27	0	0.00560515	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	0	0.0240814	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	119	0	0.0247042	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	71	0	0.0147395	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	0	0.0521071	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	143	0	0.0296865	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	16	0	0.00332157	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	0	0.0220054	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	10	0	0.00207598	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	127	0	0.026365	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	779	0	0.161719	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	200	0	0.0415196	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	51	0	0.0105875	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	20	0	0.00415196	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	0	0.0124559	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	275	0	0.0570895	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	38	0	0.00788873	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	0	0.0658086	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	431	0	0.0894748	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	52	0	0.0107951	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00228358	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	65	0	0.0134939	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	48	0	0.00996471	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	11	0	0.00228358	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0130787	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	261	0	0.0541831	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	0	0.0130787	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA
7	289	15	1	0.899938	1.11954	[0.15,8.54]	0.758226	1	0.1	NA	1	1	NA	276	37	16.5589	2.63487	[1.82,3.81]	3.48427e-06	0.00314498	0.1	*	1	1	NA	48	2	2.8798	0.678988	[0.16,2.81]	0.886634	1	0.1	NA	0.472581	1	NA	130	1	7.79946	0.118405	[0.02,0.85]	0.0054741	1	0.1	NA	0.00490033	1	NA	251	10	15.059	0.637576	[0.33,1.21]	0.204116	1	0.1	NA	0.0893445	1	NA	49	8	2.9398	3.1157	[1.45,6.71]	0.0115752	1	0.1	NA	1	1	NA	38	6	2.27984	2.9788	[1.24,7.18]	0.0350029	1	0.1	NA	1	1	NA	27	0	1.61989	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	116	6	6.95952	0.851526	[0.37,1.95]	0.899198	1	0.1	NA	0.309191	1	NA	119	7	7.13951	0.978723	[0.45,2.12]	1	1	0.1	NA	0.310491	1	NA	71	0	4.25971	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	251	9	15.059	0.569274	[0.29,1.12]	0.114772	1	0.1	NA	0.056526	1	NA	143	3	8.57941	0.328771	[0.10,1.04]	0.0474472	1	0.1	NA	0.0338304	1	NA	16	0	0.959934	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	106	1	6.35956	0.146263	[0.02,1.05]	0.0208607	1	0.1	NA	0.0182288	1	NA	10	2	0.599958	3.93728	[0.83,18.63]	0.19742	1	0.1	NA	1	1	NA	127	7	7.61947	0.91182	[0.42,1.97]	1	1	0.1	NA	0.301727	1	NA	779	23	46.7368	0.431416	[0.28,0.67]	3.67432e-05	0.0247666	0.1	NA	2.14849e-05	0.178727	NA	200	6	11.9992	0.473644	[0.21,1.08]	0.0765811	1	0.1	NA	0.0444575	1	NA	51	0	3.05979	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	20	0	1.19992	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	60	1	3.59975	0.263006	[0.04,1.91]	0.232793	1	0.1	NA	0.18509	1	NA	275	6	16.4989	0.335676	[0.15,0.76]	0.00371758	1	0.1	NA	0.00256584	1	NA	38	0	2.27984	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	317	6	19.0187	0.28748	[0.13,0.65]	0.000549256	0.248839	0.1	NA	0.000401609	1	NA	431	14	25.8582	0.501888	[0.29,0.87]	0.0100821	1	0.1	NA	0.00535922	1	NA	52	3	3.11978	0.958827	[0.30,3.10]	1	1	0.1	NA	0.462811	1	NA	11	1	0.659954	1.56875	[0.20,12.30]	0.712008	1	0.1	NA	1	1	NA	65	2	3.89973	0.493889	[0.12,2.03]	0.484404	1	0.1	NA	0.302826	1	NA	48	3	2.8798	1.04499	[0.32,3.38]	0.877955	1	0.1	NA	0.936483	1	NA	11	0	0.659954	0	[0.00,0.00]	1	1	0.1	NA	1	1	NA	63	2	3.77974	0.51031	[0.12,2.10]	0.522708	1	0.1	NA	0.32205	1	NA	261	10	15.6589	0.610747	[0.32,1.16]	0.15474	1	0.1	NA	0.0707444	1	NA	63	3	3.77974	0.781119	[0.24,2.51]	0.943339	1	0.1	NA	0.420631	1	NA
