C	Cn	ADonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	HTNonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADandHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADorHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	other	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
14	112	401	20	9.32365	2.46719	[1.50,4.05]	0.00108511	0.0375454	0.1		1	1		191	3	4.44094	0.661282	[0.21,2.10]	0.688903	1	0.1		0.346207	1		107	0	2.48786	0	[0.00,0.00]	1	1	0.1		1	1		699	23	16.2524	1.54024	[0.97,2.45]	0.0953217	1	0.1		1	1		4118	89	95.7476	0.649249	[0.41,1.03]	0.0992038	1	0.1		0.0412373	1		
15	184	401	11	15.3174	0.691759	[0.37,1.28]	0.29662	1	0.1		0.11724	1		191	5	7.29583	0.667838	[0.27,1.64]	0.507822	1	0.1		0.23314	1		107	0	4.08719	0	[0.00,0.00]	1	1	0.1		1	1		699	16	26.7004	0.550791	[0.33,0.93]	0.0222701	0.513703	0.1		0.0108777	0.716898		4118	168	157.3	1.81557	[1.08,3.05]	0.0372325	0.780764	0.1		1	1		
16	26	401	0	2.16442	0	[0.00,0.00]	1	1	0.1		1	1		191	3	1.03093	3.19357	[0.95,10.73]	0.127453	1	0.1		1	1		107	0	0.577538	0	[0.00,0.00]	1	1	0.1		1	1		699	3	3.77289	0.767429	[0.23,2.56]	0.932298	1	0.1		0.432299	1		4118	23	22.2271	1.30305	[0.39,4.35]	1	1	0.1		0.432299	1		
17	77	401	0	6.41001	0	[0.00,0.00]	1	1	0.1		1	1		191	0	3.05315	0	[0.00,0.00]	1	1	0.1		1	1		107	0	1.7104	0	[0.00,0.00]	1	1	0.1		1	1		699	0	11.1736	0	[0.00,0.00]	1	1	0.1		1	1		4118	77	65.8264	0	[0.00,0.00]	1.95625e-05	0.00108299	0.1	**	1	1		
18	146	401	12	12.154	0.985765	[0.54,1.80]	1	1	0.1		0.242136	1		191	3	5.78908	0.50026	[0.16,1.58]	0.322631	1	0.1		0.191953	1		107	2	3.2431	0.603968	[0.15,2.47]	0.72843	1	0.1		0.412063	1		699	17	21.1862	0.770795	[0.46,1.29]	0.382166	1	0.1		0.122328	1		4118	129	124.814	1.29736	[0.78,2.17]	0.545515	1	0.1		1	1		
19	77	401	0	6.41001	0	[0.00,0.00]	1	1	0.1		1	1		191	2	3.05315	0.642116	[0.16,2.63]	0.809726	1	0.1		0.443602	1		107	0	1.7104	0	[0.00,0.00]	1	1	0.1		1	1		699	2	11.1736	0.154682	[0.04,0.63]	0.0010471	0.0371592	0.1		0.000899671	0.0830107		4118	75	65.8264	6.46488	[1.58,26.39]	0.00165761	0.0533526	0.1		1	1		
20	5	401	3	0.416234	16.6357	[2.77,99.85]	0.00964241	0.251797	0.1		1	1		191	0	0.198256	0	[0.00,0.00]	1	1	0.1		1	1		107	0	0.111065	0	[0.00,0.00]	1	1	0.1		1	1		699	3	0.725555	8.87069	[1.48,53.19]	0.0445534	0.920339	0.1		1	1		4118	2	4.27444	0.112731	[0.02,0.68]	0.0484465	0.966637	0.1		0.0445534	1		
21	36	401	1	2.99689	0.312929	[0.04,2.29]	0.371458	1	0.1		0.284975	1		191	3	1.42744	2.22099	[0.68,7.31]	0.234454	1	0.1		1	1		107	1	0.799668	1.26011	[0.17,9.28]	0.731865	1	0.1		1	1		699	5	5.224	0.949847	[0.37,2.45]	1	1	0.1		0.37724	1		4118	31	30.776	1.0528	[0.41,2.72]	1	1	0.1		0.37724	1		
22	24	401	0	1.99792	0	[0.00,0.00]	1	1	0.1		1	1		191	0	0.95163	0	[0.00,0.00]	1	1	0.1		1	1		107	1	0.533112	1.92248	[0.26,14.37]	0.6383	1	0.1		1	1		699	1	3.48267	0.255077	[0.03,1.89]	0.234376	1	0.1		0.18839	1		4118	23	20.5173	3.92039	[0.53,29.08]	0.434997	1	0.1		1	1		
23	28	401	8	2.33091	4.4743	[1.96,10.22]	0.00243462	0.076581	0.1		1	1		191	0	1.11023	0	[0.00,0.00]	1	1	0.1		1	1		107	0	0.621964	0	[0.00,0.00]	1	1	0.1		1	1		699	8	4.06311	2.37221	[1.04,5.41]	0.077189	1	0.1		1	1		4118	20	23.9369	0.421547	[0.18,0.96]	0.08103	1	0.1		0.0527157	1		
24	8	401	0	0.665975	0	[0.00,0.00]	1	1	0.1		1	1		191	2	0.31721	8.14815	[1.63,40.64]	0.0688831	1	0.1		1	1		107	0	0.177704	0	[0.00,0.00]	1	1	0.1		1	1		699	2	1.16089	1.96652	[0.40,9.76]	0.460647	1	0.1		1	1		4118	6	6.83911	0.508512	[0.10,2.52]	0.654644	1	0.1		0.460647	1		
