HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value
DOID:10652	Alzheimer's_disease	AD	259	DOID:9255	Frontotemporal_dementia	FTD	81	-0.0628645452174863	.	YES	-0.607207016273101	0.543713536549331	Smaller	.	0.887682117730322	DOID:10652	Alzheimer's_disease	AD	388	DOID:9255	Frontotemporal_dementia	FTD	102	0.013144123628833	YES	.	-0.0887254964523412	0.929300069204114	Smaller	.	1	DOID:10652	Alzheimer's_disease	AD	508	DOID:9255	Frontotemporal_dementia	FTD	121	0.0250978626489173	YES	.	-0.480082650154024	0.63116862456177	Smaller	.	0.834426317217255
DOID:10652	Alzheimer's_disease	AD	259	DOID:2377	Multiple_Sclerosis	MS	96	-0.254939037377418	.	YES	-3.34766810930137	0.00081494544118607	Smaller	.	0.00706286049027927	DOID:10652	Alzheimer's_disease	AD	388	DOID:2377	Multiple_Sclerosis	MS	134	-0.181344212106902	.	YES	-3.28667944369186	0.00101376161614741	Smaller	.	0.00564810043282128	DOID:10652	Alzheimer's_disease	AD	508	DOID:2377	Multiple_Sclerosis	MS	199	-0.204147008864053	.	YES	-4.56093864000726	5.09254620607004e-06	Smaller	***	3.05552772364202e-05
DOID:3312	Bipolar_disorder	BD	127	DOID:3312	Bipolar_disorder	BD	127	0	.	.	0	1	larger	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:3312	Bipolar_disorder	BD	188	0	.	.	0	1	larger	.	1	DOID:3312	Bipolar_disorder	BD	297	DOID:3312	Bipolar_disorder	BD	297	0	.	.	0	1	larger	.	1
DOID:3312	Bipolar_disorder	BD	127	DOID:12849	Autistic_disorder	AUT	95	-0.366460202432022	.	YES	-3.90945819462405	9.25033616520558e-05	Smaller	**	0.00144305244177207	DOID:3312	Bipolar_disorder	BD	188	DOID:12849	Autistic_disorder	AUT	153	-0.495535159010673	.	YES	-7.86655484233625	3.64540956697569e-15	Smaller	***	8.79400919932532e-14	DOID:3312	Bipolar_disorder	BD	297	DOID:12849	Autistic_disorder	AUT	209	-0.456306004360924	.	YES	-9.60060748147263	7.94746191549923e-22	Smaller	***	2.0663400980298e-20
DOID:3312	Bipolar_disorder	BD	127	DOID:5419	Schizophrenia	SCH	366	-0.42737344378024	.	YES	-7.00616523953421	2.44938619638996e-12	Smaller	***	9.55260616592084e-11	DOID:3312	Bipolar_disorder	BD	188	DOID:5419	Schizophrenia	SCH	535	-0.473249846602018	.	YES	-10.7373690640098	6.7953303116908e-27	Smaller	***	2.65017882155941e-25	DOID:3312	Bipolar_disorder	BD	297	DOID:5419	Schizophrenia	SCH	694	-0.542294843521736	.	YES	-15.0233092362995	5.16627855717267e-51	Smaller	***	2.01484863729734e-49
DOID:3312	Bipolar_disorder	BD	127	DOID:0060041	Autism_Spectrum_Disorder	ASD	97	-0.358046658471815	.	YES	-3.72081408859465	0.000198581592204721	Smaller	*	0.00258156069866137	DOID:3312	Bipolar_disorder	BD	188	DOID:0060041	Autism_Spectrum_Disorder	ASD	154	-0.490668361748989	.	YES	-7.83988065835658	4.50974830734632e-15	Smaller	***	8.79400919932532e-14	DOID:3312	Bipolar_disorder	BD	297	DOID:0060041	Autism_Spectrum_Disorder	ASD	212	-0.45532093119853	.	YES	-9.4422406426158	3.64891618307012e-21	Smaller	***	7.11538655698673e-20
DOID:3312	Bipolar_disorder	BD	127	DOID:1826	Epilepsy_syndrome	Epi	138	-0.257697996938242	.	YES	-2.06485577673091	0.0389366484942057	Smaller	.	0.138048117388547	DOID:3312	Bipolar_disorder	BD	188	DOID:1826	Epilepsy_syndrome	Epi	228	-0.201646710885232	.	YES	-1.89496168487364	0.0580974779430163	Smaller	.	0.205981967252512	DOID:3312	Bipolar_disorder	BD	297	DOID:1826	Epilepsy_syndrome	Epi	288	-0.137581746956747	.	YES	-0.954523218801914	0.339818861988613	Smaller	.	0.540936147655343
DOID:3312	Bipolar_disorder	BD	127	DOID:1059	Intellectual_Disability	ID	103	-0.102975440649066	.	YES	0.171456528648905	0.86386480933773	larger	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:1059	Intellectual_Disability	ID	159	-0.11596083074862	.	YES	-0.351322009346783	0.725346784944219	Smaller	.	0.995555939175719	DOID:3312	Bipolar_disorder	BD	297	DOID:1059	Intellectual_Disability	ID	240	-0.10432913868668	.	YES	-0.34361211804276	0.731138010164193	Smaller	.	0.919818786980759
DOID:3312	Bipolar_disorder	BD	127	DOID:10763	Hypertension	HTN	132	-0.121176076884738	.	YES	0.133849869803946	0.893521291563794	larger	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:10763	Hypertension	HTN	195	-0.084570693366038	.	YES	0.517515089344415	0.604796638278383	larger	.	0.962737505830895	DOID:3312	Bipolar_disorder	BD	297	DOID:10763	Hypertension	HTN	298	-0.0774704254964815	.	YES	0.705528437403843	0.480481441250822	larger	.	0.694028748473409
DOID:3312	Bipolar_disorder	BD	127	DOID:12858	Huntington's_disease	HD	43	-0.0275622865883214	.	YES	-0.38332519224752	0.701478662483625	Smaller	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:12858	Huntington's_disease	HD	58	0.0626837917315344	YES	.	0.67685759066134	0.498496314026363	larger	.	0.845276358566442	DOID:3312	Bipolar_disorder	BD	297	DOID:12858	Huntington's_disease	HD	84	0.0898713418398456	YES	.	1.20433337736265	0.228460750953614	larger	.	0.414417176148416
