id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
0	5.05679737331375e-29	0	0	0	0	0	0	0	0	0	8.38354032825226e-53	0	0	0	4.80057814306558e-54	0	0	1.82039675732805e-05	0	0	0	0	0.000145933425199	0	0	0.999835622376418	0	6.02580864467658e-80	0	0	0	0	0	0	0	0	0	1.63581054584205e-08	0	2.23872704250723e-07	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0.00467342259079034	0	0	0	0.990939128316292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186893434265089	0	0	0	0.00251851475026657	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0.00240959553629647	0.0015402341247642	0.00572998779448541	0.00156050273544004	0.0167648664775323	0.00285131138629377	0.000262717902417902	0	0.00646411545900487	0	0.000369754809471704	0.0020622776502193	0.0363228634181995	0.0124876565454328	0.126237528787335	1.06538020276656e-11	0.0108906839960419	0.0950469844626217	0	0.000197502271151626	0.00520861754607821	8.02452337450569e-10	0.013776328495793	0	0.0384823336426207	0.0055966784151375	0.00383166882647049	0.00508075474046683	0.00728553338007808	0.00780755966961907	0.00629783766929903	0.00663037919951193	0.00232225661933809	0.0925349947225508	0.0017162120920151	0.0277254941659633	0.0191223063602228	0	0.0164368174532163	0.00223800939276319	0.416707633439041	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0.00498465547827411	0	1.90101639188909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994996334357807	0	1.00866996588673e-17	0	0	0	0	0	0	0	0
7	0	0	0.00539777757590208	0.423408189556891	0.0167996854719301	0.00684479075033488	0.0862219809984238	0.00541432489578472	0.00916450922031926	0.00778442015625614	0.00155195210699399	0.00883953026412493	0.00576806475036602	0.00927725018360524	0.00077143838522205	0.0114259470930405	0.0223438927601957	0.00686555730902044	0.0069498004118789	0.000849810913852618	6.0855105852062e-23	0.0343761677481106	0.0395655600539381	0.00358634472943219	0.00196639347714918	0.0273561598481939	0.00357356890753958	0.00134514920935344	0.0175637119964363	0.0124313573530328	0.0179372266464775	0.0188163350169474	0.00832967616030499	0.0062460423189671	0.0488657072264882	0.00845645932080839	0.0112831029926947	0.00784291679106035	0.00631421672608081	0.00911360231516437	0.00471382400238236	0	0.0122112971676587	0.0251862700575537	0.0372399871300829	0
8	0	0	0.00421127755190911	0.286517390376802	0.117630236298066	0.0143599274230425	0.0536250802142597	0.00834475725168705	0.00523710685631411	0.00322082349825396	0.00112384159588066	0	0.00321114631814536	0.0131716904462642	0.00163404445277911	0.0171855420968926	0.00435509688263897	0.00780559482774239	0.00281883298740821	0.00191409801929958	3.41029900447823e-36	0.011778480921286	0.0331763025678024	0.00103899324720585	0.00152924262193585	0.0269097349085526	0.0030249354763349	0.000581374580335262	0.00490738926697671	0.00549977318566594	0.0579223941899695	0.0091967628210421	0.00724052777324466	0	0.107416832898874	0.0127836377742472	0.0575893989422832	0.00123557845478655	0.0339732141972685	0.00210205123060583	0.00131098521477125	0	0.00864081942780719	0.0267615322862459	0.0390135509153733	0
9	0	0	0	0	0.00848296302463349	0	0	0.0136200851745259	0	0	0	0.0481784191828922	0.272263686438039	0	0	0	0.0464550547480799	0	0	0	0.042066128892049	0	0	0	0	0.364514782665198	0	0.0684724944130619	0	0	0	0	0.00892219668287072	0	0	0	0	0	0	0	0.0933682421938524	0	0	0.0336559465847978	0	0
