#communities 
273	1220
6455	1220
1759	1220
1785	1220
26052	56
2060	41
1837	313
1821	313
1756	1231
1605	1231
369	1219
2923	27
3836	17
26986	145
22808	7
1487	1227
2317	103
2316	103
29979	110
5663	1219
3709	127
1793	103
2274	1219
8470	1221
6456	1220
10133	41
22895	136
3739	90
6548	1219
3688	1219
10605	334
1975	17
1981	19
23163	41
3265	65
351	89
30011	19
2318	1254
5195	50
5193	97
2475	1219
207	1219
5170	1219
6198	1219
3667	1219
3064	17
5333	65
2887	1221
1956	1219
3320	56
1615	1238
2058	150
5573	225
7249	1219
10971	1219
53616	1219
7534	1219
7164	2
57403	129
1432	1219
672	17
5894	1219
29763	169
4783	23
40	335
41	19
3028	14
1742	103
2066	1221
1740	133
1741	133
215	336
5825	337
10484	19
55824	301
322	1221
5584	1238
55746	6
2547	17
2280	1247
3842	17
387	1226
824	1219
3503	338
2934	1244
7332	41
3500	339
2108	340
259217	70
260425	70
23499	63
50618	1219
55187	341
25831	8
5799	1237
3547	152
5362	243
10015	1220
26037	8
23026	120
23037	206
1951	134
23129	84
1173	17
22883	47
221981	53
20	4
23025	342
22995	8
57453	308
23228	308
5365	184
23113	32
9439	42
27148	99
57556	142
10580	17
57571	343
57670	1263
4645	1263
57610	152
23031	290
10043	41
815	19
57787	1219
3178	17
6294	17
1459	1216
1460	1219
1457	17
6449	110
3646	1228
2243	268
10989	11
23193	17
6747	240
4670	17
7916	17
5859	19
5684	19
2885	103
708	200
529	304
10212	168
7919	168
6210	168
10189	168
1642	17
11117	19
1994	58
23517	52
26019	1238
6499	172
3184	1241
5976	17
23248	17
11331	91
142	17
4998	19
4172	19
4999	19
4175	19
10539	87
10006	1221
4750	1219
11127	22
10617	12
26994	41
10482	8
5869	20
5868	20
7334	41
7316	41
7251	19
9135	41
164	60
4214	41
4216	1219
10598	56
375	181
7454	1221
23095	1267
8887	41
10376	1219
2036	1260
3708	1260
3326	56
576	182
5757	91
28964	1273
51631	17
1213	1219
1400	11
1937	11
57562	11
1891	8
114928	11
55660	17
3837	1291
29117	11
4747	19
5764	11
6457	1220
7431	1238
10980	11
4738	48
1399	1221
1398	103
4217	1219
2810	1219
5058	1219
2010	17
355	1238
34	344
3643	1221
23390	1253
2045	63
2048	63
2051	63
2049	345
10987	1219
1612	1238
23405	6
4478	65
1499	1219
673	1219
10469	219
22800	41
5315	1238
9693	1239
163	1219
4301	63
4297	1238
274	1
6453	1219
392	1226
10188	1221
19	44
3761	167
133957	346
146691	41
11059	1221
23327	1219
29978	110
5211	325
221935	347
23352	1
55252	348
23002	1226
1729	17
26036	17
55596	52
11100	17
51755	17
114793	17
10486	1259
5094	58
3556	17
10564	225
55729	82
11190	11
5310	103
1009	82
1464	63
3915	82
23420	5
2324	82
26168	1249
4881	82
5097	349
23705	14
3911	82
1284	350
5499	17
161742	1250
23368	19
54843	136
10494	41
2801	19
81876	50
5861	1255
6867	1271
22938	19
1080	1278
23513	90
5797	64
11122	1
10076	78
5802	1273
5792	1273
5786	58
5789	1273
5791	242
5793	1221
5803	293
5787	1221
5795	1221
5798	1
23647	2
10755	41
26354	1219
3732	351
51429	1220
8476	1215
10627	21
88	19
5682	19
5683	28
5685	19
5687	28
5690	28
5689	28
5691	28
5693	28
5694	330
5695	28
6311	19
2261	1233
1933	280
1936	1242
10093	212
56893	1
10574	11
11316	71
1363	67
1915	1238
5708	56
6176	11
55183	11
7917	1238
10382	1219
5217	1231
2597	17
10094	1221
4354	1219
51608	11
11051	19
10399	1231
3276	17
3336	19
56992	11
4666	11
4860	4
4905	1221
5050	11
10606	1278
5515	52
5717	11
6117	11
293	1238
6616	162
7276	1238
1114	1238
1743	1224
5720	1238
7277	1251
170961	169
197131	11
23028	1216
54622	11
10342	17
403	11
51593	17
509	352
9001	11
22948	108
55755	11
1160	221
2661	11
6613	1249
51726	11
2026	1251
55186	353
2495	17
2512	1261
2819	39
2950	18
3146	17
3163	11
10236	17
2079	11
3312	56
3315	1219
3798	1219
81631	1229
2975	1229
5601	1219
4140	1219
6182	155
65080	11
4715	11
4831	34
4832	34
11165	11
5034	17
5049	17
26135	11
5216	11
25843	19
8575	11
6136	1251
25873	113
3921	68
6230	100
6421	17
10657	1221
11075	19
10273	56
7083	1238
9638	11
7336	41
54874	40
213	11
217	111
306	11
3728	1219
481	160
78987	11
4700	143
3039	139
546	1279
613	1221
22913	17
284403	1219
1008	11
1345	354
1508	1226
10540	1232
1783	1262
29924	41
2059	1221
23474	11
116985	25
55512	11
2290	279
2521	17
2771	73
2783	56
2804	1231
22927	17
3189	17
