Alg	FacComsEnriched_log2(FE)>0.5_log2(FE)<4.8	FacComsEnriched_log2(FE)>4.8_log2(FE)<8.0
Spectral	0.470588235294118	0.5
louvain2	0.111111111111111	0.577777777777778
