alg	FN	CN	FNxCN	Psig	PALTsig	OR>1	ORsig	Psig&ORsig	PALTsig&ORsig	FEsig	Psig&ORsig&FEsig	EnrichedComs(%)	p.value
Spectral	114	58	6612	34	0	1249	358	34	0	852	30	0.514216575922565	4.64344374521618e-23
louvain2	114	107	12198	45	0	2025	646	45	0	1743	20	0.368912936546975	1.04346137725783e-06
