alg	FN	CN	FNxCN	Psig	PALTsig	OR>1	ORsig	Psig&ORsig	PALTsig&ORsig	FEsig	Psig&ORsig&FEsig	EnrichedComs(%)	p.value
Spectral	114	58	6612	223	24	1249	358	196	0	852	148	2.9643073200242	6.07935555917747e-91
louvain2	114	107	12198	305	9	2025	646	297	0	1743	174	2.43482538121003	1.9804403479322e-70
