alg	isConv	finIter	finTol	stopCode	stopMessage
louvain2	TRUE	7	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral	TRUE	8	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
