alg	isConv	finIter	finTol	stopCode	stopMessage
louvain2	TRUE	21	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral	TRUE	19	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
