GO:0050804
GO:0099536
GO:0099537
GO:0007268
GO:0007269
GO:0099003
GO:0099643
GO:0099531
GO:0016079
GO:0099504
GO:0050808
GO:0099565
GO:0098693
GO:0060078
GO:2000300
GO:0048488
GO:0098930
GO:0016082
GO:0099637
GO:0031629
GO:0099072
GO:0098877
GO:0008088
GO:0008089
GO:0099054
GO:0007416
GO:0060074
GO:0050807
GO:0001504
GO:0099601
GO:0051963
GO:0051591
GO:0035235
GO:0019933
GO:0046058
GO:0007212
GO:0042417
GO:0010611
GO:0086065
GO:0048846
GO:0007411
GO:0031929
GO:0042552
GO:0032288
GO:0007223
GO:0019722
GO:0055074
GO:0048791
GO:0002757
GO:0002218
GO:0002758
GO:0060563
GO:0009755
GO:0002224
GO:0002431
GO:0050852
GO:0050853
GO:0051403
GO:0000165
GO:0010737
GO:0043491
GO:0070528
GO:0032606
GO:0032479
GO:0032480
GO:0032481
GO:0032608
GO:0032648
GO:0032609
GO:0034341
GO:0071346
GO:0060333
GO:0034340
GO:0060337
GO:0071357
GO:0006614
GO:0006364
GO:0019083
GO:0030258
GO:0006979
GO:0045202
GO:0098794
GO:0014069
GO:0099572
GO:0043197
GO:0098793
GO:0097060
GO:0045211
GO:0042734
GO:0008021
GO:0043083
GO:0098993
GO:0048786
GO:0098845
GO:0048787
GO:0098982
GO:0030672
GO:0098563
GO:0098839
GO:0098936
GO:0099055
GO:0099634
GO:0030285
GO:0022625
GO:0022627
GO:0005730
GO:0030008
GO:0072562
GO:1905030
GO:0004930
GO:0001664
GO:0031683
GO:0031821
GO:0030552
GO:0051427
GO:0050780
GO:0043539
GO:0030291
GO:0099604
GO:0005245
GO:0004722
GO:0004674
GO:0004712
GO:0032794
GO:0071889
GO:0005524
GO:0005080
GO:0005125
GO:0044212
GO:0003700
GO:0004707
GO:0004708
GO:0005231
GO:0016887
GO:0003924
GO:0003735
GO:0003723
GO:0019843
GO:0017112
GO:0034330
GO:0032535
GO:0034329
GO:0010721
GO:0031345
GO:0045216
GO:0050770
GO:0050768
GO:0031346
GO:0061025
GO:0050771
GO:0043406
GO:0031098
GO:0061387
GO:0008361
GO:0048168
GO:0043297
GO:0016458
GO:0032869
GO:0048660
GO:0018205
GO:0050922
GO:0051568
GO:0048661
GO:0002756
GO:0031668
GO:0016571
GO:0034968
GO:0043414
GO:0038083
GO:0031644
GO:0009165
GO:0042490
GO:0009112
GO:0030278
GO:0030203
GO:0001012
GO:0043021
GO:0008135
GO:0043022
GO:0070851
GO:0008083
GO:0042054
GO:0016278
GO:0018024
GO:0008757
GO:0008276
GO:0008168
GO:0016741
GO:0033267
GO:0005776
GO:0030427
GO:0030426
GO:0034702
GO:0001917
GO:0034707
